Title,URL,Description,Date Published,Author,Tags,Categories,data collection date,Locations
Moving in or out soon? Tuscaloosa has dumpsters out and about so your trash stays sequestered,https://www.wvua23.com/moving-in-or-out-soon-tuscaloosa-has-dumpsters-out-and-about-so-your-trash-stays-sequestered/,"If you're among the thousands of college students moving into or out of a home or apartment within the next few weeks, the city of Tuscaloosa is ensuring there's plenty of space for you to dump all your move-related garbage. The city has placed 10 roll-off dumpsters around student-populated areas for move in/out use through Friday, Aug. 21. Dumpster locations include: These dumpsters are marked with move-in/out signage and are for residential use only. All debris must be placed inside the buns, not on the ground. Recyclable items like cardboard boxes, plastic bottles, plastic bags, aluminum cans, steel soup cans, newspapers/magazines and office paper can be recycled via residential blue curbside recycling bins or in drop-off recycling trailers located around the city. Electronics can be recycled at the Environmental Services Facility, 3440 Reese Phifer Ave., Monday through Friday from 8 a.m. to 5 p.m. If you have questions about the service, call Tuscaloosa 311. 893 Parkview Drive Cloverdale Drive at Meador Drive ""¢ 300 Thomas Street, behind apartment building Seventh Avenue and 12th Street Eighth Avenue and 11th Street, in front of Capstone Condominiums 11th Avenue and 12th Street, in front of Heathrow Apartments 12th Street behind Tutwiler 12th Street and 14th Avenue Eighth Avenue and 13th Street 13th Street behind Jack's",24-07-24,"WVUA 23 Digital,","city of tuscaloosa, trash disposal",Local News,26-07-24,"Tuscaloosa, Alabama"
"Alabama joins coalition to give rural, small-town Alabamians academic resources",https://www.wvua23.com/alabama-joins-coalition-to-give-rural-small-town-alabamians-academic-resources/,"By WVUA 23 Digital Reporter Candace Johnson The University of Alabama has partnered with the STARS College Network. Comprised of 32 of the nation's most prominent institutions, the program is designed to assist students from rural and small-town communities to be successful in college. ""A great benefit of being a part of STARS program is the ability for each university to create a plan unique to their institution. This allows UA to craft strategies we know will be successful in assisting rural students within our state,"" said Matt McLendon, associate vice president and executive director for enrollment management. ""This program will improve the lives of so many Alabama residents."" With this partnership comes many benefits and opportunities that students will have access to. Some of these resources includes community-based programs and events, on-campus programs and events, informational materials, and more. For more information about the coalition, visithere.",24-07-24,"WVUA 23 Digital,","Alabama Rural Communities, students, university of alabama",Local News,26-07-24,"Tuscaloosa, Alabama"
"York gets $200K for LED lighting, HVAC upgrades to municipal complex",https://www.wvua23.com/york-gets-200k-for-led-lighting-hvac-upgrades-to-municipal-complex/,"By WVUA 23 Digital Reporter Candace Johnson The city of York in Sumter County has been granted $205,855 to install LED lighting and make HVAC upgrades at the municipal complex. ""These upgrades represent a long-term investment that will lower energy costs for years to come, saving money in local budgets that can be put toward other needs,"" Gov. Ivey said. ""I commend the leaders who secured these grants for recognizing the benefits of focusing on energy efficiency."" With the funds given from the Energy Efficiency and Conservation Block Grant Program, residents will be able to have modern and up-to-date systems. This will also allow for efficient equipment that will be less expensive to operate. ""Taking steps to increase efficiency is a sensible and sustainable approach to lowering costs and saving taxpayer money,"" ADECA Director Kenneth Boswell said. ""ADECA is pleased to join Gov. Ivey in supporting these forward-looking projects.""",24-07-24,"WVUA 23 Digital,",sumter county,Local News,26-07-24,"York, Alabama / Sumter County, Alabama"
Alabama basketball in the 2024 NBA Summer League,https://www.wvua23.com/alabama-basketball-in-the-2024-nba-summer-league/,"By WVUA 23 Digital Reporter Josh Batchelor Alabama basketball had numerous former players participate in the 2024 NBA Summer League in Las Vegas this month. NBA Summer League Tide Hoopspic.twitter.com/81nibVisnS - Alabama Men's Basketball (@AlabamaMBB)July 24, 2024  Many players competed to earn roster spots, whether that be a NBA contract, 2-way contract or G-League contract. The former SEC Player had a phenomenal NBA rookie season, finishing third in the NBA Rookie of the Year voting behind Victor Wembanyama and Chet Holmgren. The Charlotte Hornets star is heading into his sophomore campaign and didn't have much to prove in the summer league. Miller played in just one game, scoring 23 points and grabbing eight rebounds. Miller's one game sample size of 23 points per game ranked fourth among all players. Miller's first round draft pick partner from 2023 showed flashes in year one for the Brooklyn Nets and its G-League affiliate. Clowney has an opportunity to increase his role for a struggling Nets' franchise in need of immediate contributors. ""Stretch"" played in five games this summer, averaging 13.8 points, 4.2 rebounds, 1.4 steals and 1.6 blocks per game. A hard-hat aficionado, Ellis personifies what it meant to be a 3-and-D player. He has steadily improved his role in the Kings organization to be a 2-way player in the 2022-2023 season to ultimately starting games for the Kings this past system. Ellis played in three summer league games, averaging 32 minutes a game. He averaged 12.7 points, 3.7 rebounds and 5.3 assists per game. He signed a 3-year contract with the Kings in February 2024 worth $5.1 million. NBA Champion JD Davison has made his mark in the G-League the past two seasons and looks posed to make the NBA jump. He resigned with the Celtics in early July on a 1-year $578,000 contract. In three games, the former Alabama point guard averaged 12 points, 3 rebounds and six assists. he also shot a remarkable 55.6 percent on three-point shots. The Huntsville native has struggled to solidify himself on a NBA team since being drafted with the 13th pick in the 2020 NBA Draft. Injuries and role instability have caused him to be fighting for a roster spot. He spent five years in New Orleans before being traded to the Pacers, Raptors and Jazz in 2024. He spent this summer league with the Houston Rockets and played in five games. In a limited minutes, Lewis Jr. tallied 4.6 points, 2.6 rebounds and 1 assist per game. The Hofstra transfer made a significant impact in his lone season in Tuscaloosa and parlayed it into a undrafted free agent deal with the Detroit Pistons. Estrada played in five games and 13.4 minutes per game. He averaged 5.6 points, 1.8 rebounds and 2.2 assists. Few people were as unlucky as Charles Bediako this past year. He took a leap and tested his chance in the NBA waters. After going undrafted, he was signed by the San Antonio Spurs and was automatically in the large shadow of Wembanyama. He suffered a torn MCL and the Spurs cut him from his contract. The Magic picked him up for the summer league, averaging 3.7 points and 2.3 rebounds off the bench. The lefty shooter has solidified himself as a constant contributor in the loaded Oklahoma City Thunder system. He has spent the last few years playing for its G-League affiliate average double-digit scoring numbers. Shackelford maintained similar numbers this summer playing in 25 minutes per game across four contests. He averaged 13.8 points, 2.3 rebounds and 3.3 assists per game. He also shot 46.9 percent from beyond the arc. One of the biggest surprises of the summer league in Alabama basketball circles was the former big man earning a summer league opportunity with the Portland Trail Blazers. After years playing overseas, Reese may have given NBA franchises to consider him for a G-League deal. He scored double-digits in two of his five games and averaged 7.6 points and 2.2 rebounds.",24-07-24,"WVUA 23 Digital,","Aaron Estrada, Alex Reese, Brandon Miller, charles bediako, Jaden Shackelford, JD Davison, Keon Ellis, Kira Lewis Jr., NBA Summer League, Noah clowney, university of alabama men's basketball","Alabama, Alabama News, Local News, Sports",26-07-24,"Huntsville, Alabama / Tuscaloosa, Alabama / San Antonio, Texas / Oklahoma City, Oklahoma / Portland, Oregon"
Health Matters: Juvenile arthritis,https://www.wvua23.com/health-matters-juvenile-arthritis/,"Juvenile arthritis can be debilitating for those it affects, said University of Alabama College of Community Health Sciences Department of Pediatrics associate professor Dr. Brian Gannon. It's differentiated from adult-onset arthritis, which is commonly related to repetitive motions or injuries, because it's something children are born with or born with a propensity to have. ""It's much more likely to run in families,"" Gannon said. ""Many times when children do have arthritis or were diagnosed with arthritis in the pediatric age range, there is a family history of someone else who had something similar, either lupus or some other type of arthritis."" Watch the full interview below:  For all your primary health care needs, visitUniversity Medical Center, with locations in Tuscaloosa, Northport, Demopolis, Fayette, Carrollton and Livingston.",24-07-24,"WVUA 23 Digital,",health matters,"Health Matters, Local News",26-07-24,"Tuscaloosa, Alabama / Northport, Alabama / Demopolis, Alabama / Fayette, Alabama / Carrollton, Alabama / Livingston, Alabama"
A number of big items approved by Tuscaloosa City Council Tuesday,https://www.wvua23.com/a-number-of-big-items-approved-by-tuscaloosa-city-council-tuesday/,"By WVUA 23 News Reporter Zoe Blair Instead of destruction, the Tuscaloosa City Council on Tuesday approved nearly $10,000 in funding toward the pedestrian bridge over Veterans Memorial Parkway. In March, the Council had designs to demolish the bridge, but Tuscaloosans spoke out against it, saying it's a well-used gateway for residents traveling from nearby neighborhoods to Veterans Memorial Hospital and the Tuscaloosa County Park and Recreation Authority's McAbee Center. The council listened, and agreed to figure out ways to improve the bridge. Four months later, the first step has been funded. The $9,700 will pay for a professional consultant to determine what work is required for the bridge. City Council President Kip Tyner said the bridge is vital to residents in that community. ""Unfortunately, we've had quite a number of tragic accidents lately that have taken many lives, and crossing Veterans Memorial Parkway would be like a speedway,"" Tyner said. ""So we definitely need it. I'm looking forward to their results, and looking forward to making the bridge great again."" Tyner said the Council believes the bridge is structurally sound, meaning improvements would cost much less than the hundreds of thousands of dollars the proposed demolition would have. He said rust and pain removal will likely be the first steps. At the same meeting, the Council approved ending its 13-year agreement with Red Mountain Entertainment, the contractor responsible for bringing concerts and other acts to the Mercedes-Benz Amphitheater. The agreement officially ends Dec. 31. On Jan. 1, 2025, the city will begin a new contract with Danny Wimmer Presents. Tyner said he believes this new partnership will bring bigger and better entertainment options to Tuscaloosa. ""I think not only will we see bigger and better acts, I think we're going to see maybe double the number of shows that we did this year,"" Tyner said. ""I believe that the community will be so thrilled when we are able to really let everyone know what kind of acts that we'll be able to bring now."" The Council also voted on executing an ingress, egress and access to city utilities in the location of a proposed Neighborhood Walmart on Alabama Highway 69 South at the intersection of Patriot Drive. Walmart will pay the city $94,535 for the access.",24-07-24,"WVUA 23 News,","pedestrian bridge, tuscaloosa city council","Featured, Local News",26-07-24,"Tuscaloosa, Alabama / Tuscaloosa County, Alabama"
Local barber hosting free back-to-school haircuts Aug. 6,https://www.wvua23.com/local-barber-hosting-free-back-to-school-haircuts-aug-6/,"By WVUA23 News Reporter Damaris Epps Tuscaloosa barber Trey James will be hosting his annual back-to-school event this year. James and several other barbers will be giving free back-to-school haircuts. This is James' third time hosting this event. Last year, James and his team of top choppers cut 127 heads. The event will be held from 8 a.m. to 5 p.m. Aug. 6 at the McDonald Hughes Community Center, 3101 Martin Luther King Jr. Blvd. in Tuscaloosa. There will also be a stylist in attendance providing free hairstyles for girls. All children K-12 are welcome to attend. Barbers and stylists at the event request that children come with their hair freshly washed.",24-07-24,"WVUA 23 News,","back to school haircuts, trey james",Local News,26-07-24,"Tuscaloosa, Alabama"
Woman pleads guilty to stealing $300K from Alabama church to buy gifts for TikTok content creators,https://www.wvua23.com/woman-pleads-guilty-to-stealing-300k-from-alabama-church-to-buy-gifts-for-tiktok-content-creators/,"By The Associated Press TUSCALOOSA, Ala. (AP) - A former administrative assistant at an Alabama Catholic church pleaded guilty Tuesday to embezzling about $300,000 to cover gifts for TikTok content creators and personal expenses, federal authorities said. Kristen Marie Battocletti, 35, entered her plea to one count of wire fraud involving the theft of money from St. Francis of Assisi University Parish in a federal courtroom in Tuscaloosa,al.com reported. According to court documents, Battocletti engaged in a scheme to defraud the church from April 2023 through October 2023 of hundreds of thousands of dollars and used the money to buy more than $220,000 in TikTok digital coins for gifts to content creators and to pay personal expenses, federal authorities said. In the scheme, she initiated more than 600 unauthorized transactions, according to herindictment announced last weekby U.S. Attorney Prim Escalona for the Northern District of Alabama. U.S. District Judge L. Scott Coogler set Battocletti's sentencing for Nov. 26. She faces up to 20 years in prison on the wire fraud charge, three years of supervised release, and a fine of $250,000.",24-07-24,"WVUA 23 Digital,","catholic church, embezzlement, st-francis, tiktok, tuscaloosa",Local News,26-07-24,"Tuscaloosa, Alabama"
"Tider Insider: July 23, 2024",https://www.wvua23.com/tider-insider-june-23-2024/,"Gary Harris and Rodney Orr discuss the annual ""Champions Cookout"" this weekend as Alabama football closes one of the most successful recruiting summers in program history. Twenty-three recruits are coming to town this weekend including 13 members of the 2025 recruiting class. We discuss which recruits might be the next to commit and which ones to monitor for Alabama's class of 2026. SEC Media Days took place in Dallas last week. We'll talk about the big storylines going into Fall Camp. And Alabama coach Kalen Deboer talks about the similarities he shares with former Tide coach Nick Saban. UA's Board of Trustees approves the plan to rename the football field ""Saban Field at Bryant-Denny Stadium"". Former Tide golfer Nick Dunlap became the first player to win an PGA Tour event as an amateur and professional in the same year, and Amari Cooper received a pay raise from the Cleveland Browns. All that, plus we answer viewer questions - on the phone and through email.",23-07-24,"WVUA 23 Sports,",tider insider,"Featured, Local News, Tider Insider",26-07-24,"Tuscaloosa, Alabama / Dallas, Texas"
Local nonprofit hosting back-to-school bash at River Market Wednesday,https://www.wvua23.com/local-nonprofit-hosting-back-to-school-bash-at-river-market-wednesday/,"West Alabama nonprofitResources, Education and Advocacy for Drug-Free Youthis hosting a back-to-school bash at the Tuscaloosa River Market on Wednesday. More than 300 backpacks loaded with school supplies will be given away to students at the event. ""With this particular event it's just an outreach event for us,"" said READY Executive Director Nicole Shine. ""To kind of meet our students and also the parents exactly where they are in the community, giving out free supplies and also resources."" Along with a backpack giveaway, the bash will feature music and door prizes. The even is happening from 10 a.m. to 2 p.m., or until school supplies are gone, and college students in need are encouraged to attend. Students must be present at the event to get supplies. READY is a nonprofit focused on drug prevention training and tactics for parents and children. ""We are a small nonprofit,"" Shine said. ""We are small in number as a staff, but we want to be big on impact.""",23-07-24,"Jalen Prince,","back to school events, READY",Local News,26-07-24,"Tuscaloosa, Alabama"
Tuscaloosa County High School accepting donations for food pantry,https://www.wvua23.com/tuscaloosa-county-high-school-accepting-donations-for-food-pantry/,"By WVUA 23 News Reporter Paislee Roberts Did you knowTuscaloosa County High Schoolhas its own food pantry for students? The school is accepting donations ahead of the new school year so students in need have help available. The pantry is accessible by students who tell their teacher they need help. Items needed for the pantry include bottled water, granola bars, fruit cups and anything microwavable but nonperishable. Supplies like plastic forks, spoons and paper bowls are also needed. ""It is important to meet their needs on the spot, so students can continue with their day and be successful,"" said TCHS librarian Joy Black. You can donate by bringing items to the TCHS front office. There is also a donation box atChapel Hill Baptist Churchin August.",23-07-24,"WVUA 23 News,","chapel hill baptist church, food pantry, tuscaloosa county high school",Local News,26-07-24,"Tuscaloosa, Alabama / Tuscaloosa County, Alabama"
Bibb County residents grappling with family's massacre,https://www.wvua23.com/bibb-county-residents-grappling-with-familys-massacre/,"Tragedies can happen anywhere and at any time, but that doesn't make things any better for those they affect. ""Living in a small town, nobody thinks somebody that cruel would just live here,"" Bibb County resident Brittany Russell said. In Russell's case, ""somebody that cruel"" is 32-year-old Brandon Allen Kendrick II, who's facing five capital murder charges in the July 18 deaths of his wife, their two children and a relative's two children. As a mother, Russell said it's impossible to understand how someone could do something so heinous. ""I couldn't imagine anybody wanting to hurt their flesh and blood,"" Russell said. Centreville Mayor Mike Oakley said the horrific events that unfolded at the Bibb County home Thursday are beyond comprehension. ""As a father, a grandad and as a mayor of a city, you pledge to protect your citizens,"" Oakley said. ""It's just hard to comprehend what would push somebody to do that,"" Oakley said. On Monday, Kendrick pleaded not guilty by mental disease or defect to the charges in his first court appearance following the killings. ""Anybody that does this is mentally unstable, but that doesn't mean anything,"" Russell said. ""I still think that justice should be served because he did do it, whether he remembers or not."" West Blocton Mayor Daniel Sims said what happened is a tragedy, but it also shines light on where improvements and changes are needed moving forward. ""I think we could do a better job with outreach and be a little more proactive in situations like this so it doesn't have to happen again,"" Sims said. Sims said the West Blocton Police Department has plans to equip their officers with the tools, training, knowledge and resources needed to help residents who need help getting out of domestics violence situations. Russell, Oakley and Sims all said they believe early intervention can help prevent families from losing their loved ones. ""Somebody can raise somebody to be an angel and then something like this happens,"" Russell said. ""I pray for both of their families and their friends."" Read more:  4 children, 1 woman killed in tragic Bibb County incident:July 22, 2024",23-07-24,"Avery Boyce,","bibb county sheriff's office, brandon allen kendrick II, West Blocton","Crime, Featured, Local News",26-07-24,"Centreville, Alabama / West Blocton, Alabama / Bibb County, Alabama"
Scooter's Coffee supports Tuscaloosa City Schools with Tuesday event,https://www.wvua23.com/scooters-coffee-supports-tuscaloosa-city-schools-with-tuesday-event/,"By WVUA 23 News Reporter Paislee Roberts Visitors toScooter's Coffeeon Tuesday paid full price for their beverages and breakfast food, but the business itself was donating 25% of its sales proceeds to Tuscaloosa City Schools. Scooter's is working withNew Heights Community Resource Centerto help prepare and support 15 students for the new school year. Organizers hope to give the students a jumpstart to a successful school year. ""We have been out on the street waving signs and getting people to come in,"" said Scooter's manager Nate Fladstol. ""The goal is to raise $1,500 for the children."" Scooter's Coffee, located at632 15th St. in Tuscaloosa, is open from 5 a.m. to 8 p.m. Monday through Friday and 6 a.m. to 8 p.m. Saturday and Sunday.",23-07-24,"WVUA 23 News,","new heights resource center, scooter's coffee, Tuscaloosa City Schools",Local News,26-07-24,"Tuscaloosa, Alabama"
"Diving into Alabama's opponents: Week 13, at Oklahoma",https://www.wvua23.com/diving-into-alabamas-opponents-week-13-at-oklahoma/,"By WVUA 23 Digital Reporter Josh Batchelor Alabama and Oklahoma have split their last two matchups, both of which came in the postseason. Oklahoma came out on top in the 2014 Sugar Bowl, while Alabama defeated the Sooners in the 2018 Orange Bowl. This will be the first time Alabama has played Oklahoma since the 2003 season, when the Sooners came into Tuscaloosa and beat Alabama. The two also faced off the year before in which Oklahoma won. The Crimson Tide currently has a 2-3-1 record against the Sooners. In its last season in the Big 12, Oklahoma went 10-3 under second year head coach Brent Venables. The Sooners beat its Red River rivals, the Texas Longhorns, but consecutive losses to Kansas and Oklahoma State prevented them from making the conference championship. The Sooners lost one of the best players in the country and its starting quarterback, Dillon Gabriel, to the Oregon Ducks via the transfer portal. Gabriel threw for 3,660 yards and 30 touchdowns which ranked ninth in all of college football. Former five-star Jackson Arnold will replace Gabriel as the Sooners starting quarterback. Arnold got as much experience as any backup freshman quarterback, as he threw for 563 yards and four touchdowns. He started the Alamo Bowl instead of the transferring Gabriel, but threw three interceptions in a 38-24 loss to Arizona. Gavin Sawchuk returns as the starting running back, amassing 744 yards on 120 carries which was good enough for 6.2 yards per carry. He amassed nine touchdowns, but that tally will likely go up as Gabriel led the Sooners in rushing touchdowns this past season. The Sooners return three of its top four receiving leaders in Nic Anderson, Jalil Farooq and Anfrel Anthony. All three will look for increased production as Drake Stoops, the leading receiver, graduated and moved on to the NFL. The tight end room will be 60% newcomers, as the Sooners added two from the transfer portal and one from the high school ranks. The Sooners utilized wide receivers far more, as six receivers had more yards than tight end Austin Stogner. Offensive tackles Tyler Guyton and Walter Rouse were two of three Sooners players selected in the 2024 NFL Draft. The Sooners offensive line will have several first-year starters for the program, many of whom joined from the transfer portal. The Oklahoma defense is returning numerous starters, namely linebacker Danny Stutsman who led the team in tackles and finished second in sacks. Billy Bowman Jr., the Sooners strong safety, tied for the second most interceptions in college football last year with six sacks. The game is set for Saturday, Nov. 23, in Norman, Oklahoma. Alabama hosts the Iron Bowl the week after, while Oklahoma travels to Death Valley to face the LSU Tigers.",23-07-24,"WVUA 23 Digital,","alabama football, Brent Venables, Jackson Arnold, Oklahoma football, SEC football","Alabama, Alabama News, College Sports, Local News, Sports",26-07-24,"Tuscaloosa, Alabama / Norman, Oklahoma"
Portion of Lake Nicol Road closing July 31 to Aug. 1 for maintenance,https://www.wvua23.com/portion-of-lake-nicol-road-closing-july-31-to-aug-1-for-maintenance/,"Lake Nicol Road is being closed at the Lake Nicol Spillway for maintenance July 31 and Aug. 1, the city of Tuscaloosa announced Tuesday. And beginning Aug. 2, the westbound lane of Lake Nicol Road will be closed in the same area for around two weeks. Flaggers will be on-site directing traffic, so expect delays. Signage will be in place beginning Wednesday, July 24, so drivers are aware of the upcoming closure. Traffic will be detoured via: If you have any questions, call Tuscaloosa 311. Old Lock 15 Road Phelps Road Watermelon Road New Watermelon Road",23-07-24,"WVUA 23 Digital,","lake nicol road, lake nicol spillway",Local News,26-07-24,"Tuscaloosa, Alabama"
"Woman accused of taking $300K from church, spending $220K on TikTok pleads guilty",https://www.wvua23.com/woman-accused-of-taking-300k-from-church-spending-220k-on-tiktok-pleads-guilty/,"A 35-year-old woman accused of stealing $300,000 from Tuscaloosa's St. Francis of Assisi University Parish Catholic church pleaded guilty Tuesday to wire fraud in the case. According to court documents, Kristen Marie Battocletti will be sentenced Nov. 26. Last week, the Northern District of Alabama U.S. Attorney's Office announced Battocletti's indictment for one count of wire fraud after she stole $300,000 from the church between April and October 2023. Of that money, $220,000 was spent on purchasing TikTok Coins, a form of currency on the TikTok app that allows viewers to send digital gifts to content creators. The maximum penalty for wire fraud is 20 years in prison, three years of supervised release, and a fine of $250,000. Battocletti was released on a $5,000 bond. Read more: St. Francis of Assisi University Parish employee charged with wire fraud:July 19, 2024",23-07-24,"WVUA 23 Digital,","St. Francis of Assisi University Parish, wire fraud","Crime, Local News",26-07-24,"Tuscaloosa, Alabama"
Second suspect in 2023 Northport killing surrenders to officers,https://www.wvua23.com/second-suspect-in-2023-northport-killing-surrenders-to-officers/,"Officers have charged a second man in a deadly shooting within a Northport neighborhood last year. Tuscaloosa Violent Crimes Unit Commander Capt. Jack Kennedy confirmed 39-year-old George La Darius Warren turned himself in to the Tuscaloosa County Jail Sunday. Warren had been wanted in the Sept. 24, 2023, shooting on Northwood Lake Drive West in Northport. Demetrius Damon Windham, 24, was killed as he stepped out of his house that morning. Investigators said Windham was targeted and a car had been seen parked outside the house hours before the shooting. Two weeks later, officers arrested Antwaun Dewayne Pledger-Payton and charged him with murder. Pledger-Payton was determined by investigators to be driving the car involved. Warren was identified as an occupant of the vehicle last year. Read more: Update: Man, 40, arrested in Sept. 24 Northwood Lake shooting death:Oct. 10, 2023 Investigation continues into Northport homicide:Sept. 26, 2023 Man shot and killed in Northwood Lake subdivision:Sept. 24, 2023",23-07-24,"Lisa Screws,","northport shooting, Northwood Lake","Crime, Featured, Local News",26-07-24,"Northport, Alabama / Tuscaloosa, Alabama"
Alabama shad could be added to Endangered Species Act,https://www.wvua23.com/alabama-shad-could-be-added-to-endangered-species-act/,"The National Oceanic and Atmospheric Administration's National Marine Fisheries Service is suggesting the Alabama shad needs protection under the Endangered Species Act. Alabama shad have been wiped out from 60 of the 75 Southeast and Midwest rivers they once inhabited,according to an NOAA study. ""This is an exciting step toward finally protecting a fish that's vital to this country,"" said Will Harlan, a senior scientist at the Center for Biological Diversity. ""Alabama shad have been a key part of our most vibrant rivers, from the Mississippi to the Suwannee. Protecting these fish will help restore rivers and communities across the South, and our health depends on theirs."" The announcement kicks off a one-year review of the fish's status to determine if it qualifies for federal protection. The Alabama shad is a slender, silvery fish that grows to 1.5 feet in length and weighs up to 3 pounds. They migrate from the Gulf of Mexico upriver to spawn each year and were previously so abundant that they supported commercial fisheries. Many rivers where they once migrated and spawned are now blocked by dams. In Alabama, biologists have observed 98% population declines in rivers that once teemed with Alabama shad. Oil spills in the Gulf also have likely contributed to Alabama shad declines. Populations plummeted after the Deepwater Horizon oil spill in 2011 and have never recovered. Last November the Main Pass Oil Spill - the Gulf's second-largest oil spill after Deepwater Horizon - spewed at least 1.1 million gallons of oil into key Alabama shad habitat near the mouth of the Mississippi River. Joining the Center in the Alabama shad petition are the Miccosukee Tribe of Indians, Alabama Rivers Alliance, Healthy Gulf, American Whitewater, Cahaba Riverkeeper, Chattahoochee Riverkeeper, Coosa Riverkeeper, Forest Keeper, Healthy Ocean Coalition, Mobile Baykeeper, Pearl Riverkeeper, Black Warrior Riverkeeper and Choctawhatchee Riverkeeper.",23-07-24,"WVUA 23 Digital,","alabama shad, endangered species act, national marine fisheries service, NOAA","Alabama News, Local News",26-07-24,"Mobile, Alabama / Mississippi, Alabama"
PARA extends registration for Tuscaloosa United Soccer Club,https://www.wvua23.com/para-extends-registration-for-tuscaloosa-united-soccer-club/,"soccer generic By WVUA 23 Digital Reporter Candace Johnson TheTuscaloosa County Park and Recreation Authorityis extending its early bird registration for the Tuscaloosa United Soccer Club. The new deadline is now July 24. Participants are able to registerhere. If you happen to encounter difficulties registering, a PARA Activity Center representative will be able to assist. The different age groups range from the Juniors Soccer group at age 3 until the older age groups up to 17. Love soccer and want to join in the fun? Potential coaches can applyhere. If you have never been a coach before, PARA provides training as well as an app.",23-07-24,"WVUA 23 Digital,","soccer, tuscaloosa county park and recreation authority, tuscaloosa united soccer club",Local News,26-07-24,"Tuscaloosa, Alabama"
Here's what University of Alabama is doing in response to DEI bill,https://www.wvua23.com/heres-what-university-of-alabama-is-doing-in-response-to-dei-bill/,"University of Alabama President Stuart Bell on Tuesday released new information regarding how the school will adhere to the state's diversity, equity and inclusion bill signed into law earlier this year. Theso-called DEI bill, officially named Senate Bill 129, requires all public education institutions dismantle their DEI programs and end the instruction of ""divisive concepts."" You can read the bill in its entiretyright here. Alabama Gov. Kay Ivey signed the bill into law in March, and the bill goes into effect Oct. 1. According to Bell's statement, UA is making modifications to ensure compliance with the bill and is opening a new Division of Opportunities, Connections and Success. The new division will be run by G. Christine Taylor, who was named UA's vice president as associate provost for diversity, equity and inclusion in 2017. You can read Bell's statement in its entirety below: The University of Alabama serves a critical role in the growth of the educational, economic and social condition of the State of Alabama and our nation. A significant factor in our success is the continuous development of opportunities for students and employees of all backgrounds and beliefs to access this institution, connect with others, enhance our campus community, and achieve their academic and professional goals. Recent changes to state and federal laws prompted a comprehensive review of campus programs, resources and initiatives to ensure they are committed to student and employee success and comply with applicable law. It is important to note we will continue to provide resources and support to every member of our campus community, as our commitment to each individual's success remains steadfast. Among other modifications UA is making to ensure compliance, the Division of Diversity, Equity and Inclusion will close. Our mission has not wavered, and we remain committed to our institutional goals to welcome all, serve all and see all thrive and succeed. To that end, Dr. Christine Taylor will lead the new Division of Opportunities, Connections and Success, an organization charged with promoting success for everyone in the UA community. Dr. Taylor possesses a wealth of experience in the areas of student and employee access, engagement and achievement. Under her leadership, OCS will offer three primary initiatives that support our goal of preparing all students and employees for success on campus and beyond: ""More information is available on the new division'swebsite. ""Information related to Alabama Act 2024-34 (formerly SB 129) isavailable online, and additional details and guidance will be shared in the weeks ahead as we approach the Oct. 1 enforcement date. Some website updates and other processes may take time to go into effect. We appreciate The University of Alabama System leadership, including legal and government affairs, and their guidance throughout this process to help ensure our mission of teaching, research and service remains the priority. Differences, including differences of opinion shared with civility, strengthen our campus community. Our faculty, staff and students will continue to engage in free speech, exercise academic freedom, and join in wide-ranging thought and discussion on issues that impact our world. UA has seen tremendous gains over the past decade - in enrollment and in creating an atmosphere where every individual, regardless of background, can be successful. We graduate more students than any other institution in the state, building an even stronger workforce and contributing to a growing economy and more engaged society. That commitment remains as strong as ever, and our institutional goals remain steadfastly dedicated to providing resources to equip all members of our campus community. We will continue to assess how we can best serve our campus community and achieve those goals, and I appreciate every student, faculty and staff member who works diligently to support these efforts. Stuart R. BellPresident Opportunities - increasing access to higher education through heightened academic support and services to Alabama students and families with lower college attendance rates. ""Connections - fostering campuswide initiatives on free speech and civil discourse. ""Success - preparing students for the global workforce by enhancing skills and competencies sought by employers and by helping students and employees understand and effectively work with individuals from varying backgrounds.",23-07-24,"WVUA 23 Digital,","alabama DEI bill, university of alabama","Featured, Local News",26-07-24,"Tuscaloosa, Alabama"
"Growing Alabama funding bringing industrial site development to Greene, Walker counties",https://www.wvua23.com/growing-alabama-funding-bringing-industrial-site-development-to-greene-walker-counties/,"Walker and Greene counties are getting a major financial boost in their efforts to build industrial sites thanks toGrowing Alabamafunding from theRenewal of Alabama Commission. The Growing Alabama program provides a tax credit to eligible taxpayers who make contributions to economic development organizations for approved qualifying projects. In addition to Walker and Greene counties, areas getting funding in this cycle are Auburn, Brundidge, Enterprise, Fort Payne and Coosa County. ""We've been on a long winning streak when it comes to economic development, but we need to replenish our inventory of available industrial sites across the state to stay in the game,"" said Alabama Gov. Kay Ivey in a statement. ""The Growing Alabama program is helping us do just that."" Funding for West Alabama includes: Greene County Industrial Development Authority:$1.31 million for site work and public infrastructure at Crossroads of America Industrial Park. Walker County Economic and Industrial Development Authority:$4.71 million for site work and public infrastructure at Heritage Industrial Park.",23-07-24,"WVUA 23 Digital,","greene county, growing alabama, renewal of alabama commission, walker county","Alabama News, Local News",26-07-24,"Auburn, Alabama / Brundidge, Alabama / Enterprise, Alabama / Fort Payne, Alabama / Coosa County, Alabama / Walker County, Alabama / Greene County, Alabama"
